String ID,Enum,English
713,Bones,Bones
714,ChickenMeat,Chicken Meat
715,AlligatorSkin,Alligator Skin
716,SnakeSkin,Snake Skin
717,HorseHoof,Horse Hoof
718,CrocHandbag,Handbag
719,ChickenWing,Buffalo Wing
720,Bacon,Bacon
721,Glue,Glue
722,SnakeSkinBelt,Belt
723,Beer,Beer
724,Hops,Hops
725,Flour,Flour
726,Popcorn,Popcorn
727,Starch,Starch
728,Juice,Juice
729,Luwak,Luwak
730,Colouring,Colouring
731,Cream,Cream
732,ImpossibleMeat,Impossible Meat
733,Corn,Corn
734,Potato,Potato
735,Leaves,Leaves
736,Watermelon,Watermelon
737,Beetroot,Beetroot
738,Fructose,Fructose
739,SoyBeans,Soy Beans
740,Cabbage,Cabbage
741,Infant,infant
742,Special,Special
743,Herbivore,Herbivore
744,Carnivore,Carnivore
745,Omnivore,Omnivore
746,Purchased,Purchased
747,PlaceGate,Place Gate
748,LoadGame,Load Game
749,Settings,Settings
750,NewGame,New Game
751,Continue,Continue
752,AvatarSelect,Avatar Select
753,AvatarSelectTXT1,Who shall I employ to run and manage my new zoo?~Pick the person who you want to be.
754,AvatarSelectTXT2,I think I made a great choice!
755,ZooNameEntry,Zoo Name Entry
756,ZooNameEntryDesc,Please enter a name for your zoo.
757,TaskNoRequest,No requests
758,TaskComplete,You have completed all tasks from this person.
759,TaskNew,This person has a new task for you.
760,TaskNewAfterThis,This person will have a new task after this: 
761,TaskCompleteCaps,Tasks completed for this person 
762,TaskNewHeader,New Task!
763,TaskNoTask,This person has no current tasks for you.
764,TaskCurrent,Current Task: 
765,TaskAllComplete,All available tasks have been completed.
766,TaskFinish,Finish Task
767,Joe,Joe (Exotic Animal Dealer)
768,Trevor,Trevor (Soccer Captain)
769,Kathleen,Kathleen (Investor)
770,Lynda,Lynda (Mayor)
771,Timbo,Timbo (Australian Zoo)
772,Franny,Franny (Complainer)
773,Glinda,Glinda (Animal Shelter)
774,Steve,Steve (Transport Planner)
775,BlackMarketGuyTXT,"Look, thanks to you I ended up in prison. One day, I will get out. And when I do, mark my words, I will be coming for you."
776,FootballCaptainTXT,Thanks for your help. The team and I love coming here after our matches every Sunday!
777,InvestorTXT,"Well you really seem to have made a success for yourself.~Perhaps things are not too good between us right now, but if you ever consider starting a new business, please come and ask me!"
778,MayorTXT,Our town is all the more spectacular thanks to your zoo!
779,Zoo_AustrailiaTXT,"G'day! I have to say when I first met you, I had no idea things would go so far! Your zoo is now known the world over."
780,ComplainerTXT,"To be frank, I have been trying to think of new things to complain about, but you really made a lot of improvements.~Don't worry, I am watching you, I am sure you will slip up soon enough, giving me a reason to complain again!"
781,AnimalShelterGirlTXT,"Thanks so much! Thanks to you, we now have a fully thriving animal shelter.~Now lost cats and dogs will always have a place to stay!"
782,TransportPlanerTXT,You unlocked a new bus route! (TEMP)
783,BtnCustomize,Customize
784,BtnDefault,Default
785,INVESTOR1_Heading,Visit Management Office
786,INVESTOR1_Desc,"Hi, can you come to the management office to check on your tasks? I have some things for you to do."
787,INVESTOR1_Complete,"All kinds of requests end up here, and I know you will want to keep on top of them. Try viewing a new task now."
788,INVESTOR1_TaskSummary,Select the management Office.
789,INVESTOR2_Heading,Build an enclosure
790,INVESTOR2_Desc,"Every zoo needs animals, but before you can take a delivery of any animal, you need to build an enclosure."
791,INVESTOR2_Complete,"Great! Now that we have an enclosure, we can start the real business of finding animals to make our zoo one step closer to becoming the best zoo on planet Earth!"
792,INVESTOR2_TaskSummary,Build enclosure.
793,INVESTOR3_Heading,Open For Business
794,INVESTOR3_Desc,It's probably time to start trying to earn a living. Let's open the zoo so paying customers can start turning up.
795,INVESTOR3_TaskSummary,Open the zoo!
796,INVESTOR4_Heading,Seed Fund
797,INVESTOR4_Desc,"Since I invested in this business, you have various performance targets to hit in order to unlock more capital. Reach 100 total customers and I will release some additional funding."
798,INVESTOR4_TaskSummary,100 Customers.
799,INVESTOR5_Heading,Seed Fund II
800,INVESTOR5_Desc,"Your next performance target is to have 50 customers in one day. Only then will I give you more capital, together we can make this business a success."
801,INVESTOR5_TaskSummary,50 Customers.
802,INVESTOR6_Heading,Series B
803,INVESTOR6_Desc,"You are doing a good job. If you can swell your bank balance to $2000, I will be able to call on my friends to give you additional funding."
804,INVESTOR6_TaskSummary,Hold $2000.
805,INVESTOR7_Heading,Series B Pt.II
806,INVESTOR7_Desc,"Fantastic. I know I always talk about money, but as your investor it's my job to focus on that! If you can earn $25000 in one day we will open up even more funding for you."
807,INVESTOR7_TaskSummary,Earn $25000.
808,ANIMALSHELTERGIRL_Heading,Paws for thought
809,ANIMALSHELTERGIRL_Desc,"I run a local animal shelter, I would really appreciate it if you would sponsor us with a donation of $5000. I can see you are doing fairly well, and any help you can give back to the community is very much appreciated!"
810,ANIMALSHELTERGIRL_TaskSummary,Donate $5000.
811,BLACKMARKEYGUY_Heading,Join the black market
812,BLACKMARKEYGUY_Desc,"I work for an organization that deals in exotic animal trading. You are just the kind of person we want to work with! Just don't ask any questions!~So, firstly I want to sell you something at a very good price just to help build trust between us, buy an animal from me and we can see how things go."
813,BLACKMARKEYGUY_TaskSummary,Buy Animal from Black Market.
814,FOOTBALLCAPT_Heading,Sunday League
815,FOOTBALLCAPT_Desc,"I lead a football team in the {0}. After we play each Sunday, we always want to visit the zoo! The thing is, your bus can only hold ten people and there are 11 of us in the team.~If you can buy a bus that can hold all eleven of us, then chances are we will visit you every Sunday after our game!"
816,FOOTBALLCAPT_TaskSummary,Buy Bus.
817,MAYOR_Heading,Welcome to our town!
818,MAYOR_Desc,"I would love to extend our warmest welcome to you. The people of the city love having a zoo here, and I have personally cleared the land around your zoo for development. So if you want to buy more land to expand, we are happy to sell it to you!"
819,MAYOR_TaskSummary,Buy Land.
820,PUBIDIOT_Heading,Store Room
821,PUBIDIOT_Desc,"Hi there, I can't believe a zoo has opened up here in town. I have a small observation though. Perhaps you might want to feed your animals? Hunger leads to starvation, and starvation leads to death, and I don't want dead animals stinking up the neighborhood so build a store room."
822,PUBIDIOT_TaskSummary,Build Store Room.
823,TRANSPORTPLANNER_Heading,It's time to expand!
824,TRANSPORTPLANNER_Desc,I am head of the transport authority. Only I can approve you opening up new routes across the city. Prove to me that people actually want to go your zoo by having a park rating of at least {0};
825,TRANSPORTPLANNER_TaskSummary,Buy bus.
826,AUSZOO_Heading,Overpopulation
827,AUSZOO_Desc,"I have a gift for you! Come and visit me in my zoo and I can tell you all about it.  So what are you waiting for, find the Australian Zoo on the world map."
828,AUSZOO_TaskSummary,Visit Australia
829,PinQuest,Pin Quest
830,Agriculture,Agriculture
831,AddToEnclosure,Add To Enclosure
832,EditEnclosure,Edit Enclosure
833,LandExpansion,Land Expansion
834,ItemDetails,Item Details
835,TicketOffice,Ticket Office
836,ManagementOffice,Management Office
837,Ticketing,Ticketing
838,Factory,Factory
839,EditItems,Edit Items
840,Move,Move
841,Destroy,Destroy
842,AnimalInfo,Animal Info
843,AnimalStatus,Animal Status
844,Shop,Shop
845,ManageShop,Manage Shop
846,TicketPrice,Ticket Price
847,Processing,Processing
848,Zoning,Zoning
849,MoveGate,Move Gate
850,ChangeShape,Change Shape
851,BuyLand,Buy Land
852,Decorate,Decorate
853,Shelter,Shelter
854,Enrichment,Enrichment
855,Animals,Animals
856,AddObjects,Add Objects
857,ViewObjects,View Objects
858,ParkStaff,Park Staff
859,Staff,Staff
860,GetAnimals,Get Animals
861,Breeding,Breeding
862,NX,NX
863,BuildEnclosure,Build Enclosure
864,CRISPR,CRISPR
865,ParkSummary,Park Summary
866,Appearance,Appearance
867,Tasks,Tasks
868,Arrivals,Arrivals
869,MedicalJournal,Medical Journal
870,Diseases,Diseases
871,VetCoverage,Vet Coverage
872,Manage,Manage
873,Crops,Crops
874,Culling,Culling
875,QUEST_TradeZoo,Complete {0} trades with other zoos.
876,QUEST_TradeWith,Complete {0} trades with {1}.
877,QUEST_Bus,Own at least {0} Buses.
878,QUEST_BusType,Own at least {0} {1}.
879,QUEST_BusRoute,Own at least {0} Buses on route {1}.
880,QUEST_Animal,Have at least {0} animals in your zoo.
881,QUEST_AnimalType,Have at least {0} {1}.
882,QUEST_AnimalBreed,Have at least {0} {1} of breed type {2}.
883,QUEST_BuildPen,Build at least {0} animal enclosure.
884,QUEST_BuildPens,Build at least {0} animal enclosures.
885,QUEST_OpenZoo,Open Zoo
886,QUEST_ZooDays,Zoo days in business.
887,QUEST_ThingsBuilt,Have at least {0} {1} in your zoo.
888,QUEST_ThingsBuiltType,Build at least {0} things from {1}.
889,QUEST_Discover,Discover {0}.
890,QUEST_DiscoverType,Complete {0}  tasks from {1}.
891,QUEST_Earn,Earn at least ${0} in one day.
892,QUEST_EarnTotal,Reach ${0} life time revenue.
893,QUEST_Visitors,Have at least {0} visitors in one day.
894,QUEST_VisitorsTotal,Have at least {0} lifetime visitors to your zoo.
895,QUEST_Land,Own at least {0} sectors of land.
896,QUEST_Blackmarket,Buy at least {0} animals from the black market.
897,QUEST_ParkRating,Have a park rating of {0}.
898,QUEST_ViewTask,View your task list.
899,QUEST_Donate,Donate ${0}.
900,World_SelectZoo,SELECT ZOO
901,QUESTSTORY_LondonZoo,London Zoo
902,QUESTSTORY_Goose1,"So, you may have heard that a goose can be quite, errr.. difficult. Well let me tell you, that most certainly is not the case, and is in no way the reason we are trying to trade a pair of them for just one rabbit. No, not at all."
903,QUESTSTORY_Goose2,"Oh, you are sure to be happy with these! And they possibly won't be any trouble.. Maybe.. But, I do recommend not letting your visitors get too close."
904,QUESTSTORY_Pig1,"We have a couple of pigs looking for a new home. Did you know that pigs outperform 3 year old children in cognitive tests and are actually considered smarter than both cats and dogs? Well now you do, so look after them well!"
905,QUESTSTORY_Pig2,"That's exemplary! I can't wait to hear about how they settle in! Perhaps not the most exotic of animals, but they are certainly my favorite!"
906,QUESTSTORY_Badger1,We love our badgers here in the United Kingdom. It's a symbol of the countryside! We would love to extend our badger family to your zoo!
907,QUESTSTORY_Badger2,That's Tip-Top! A trade to be proud of.
908,QUESTSTORY_SGZoo,Singapore Zoo
909,QUESTSTORY_MoscowZoo,Moscow Zoo
910,QUESTSTORY_Meerkat1,"We took these meerkats in, but we just can't seem to get the temperature right for them. I heard you are doing really well with desert-like habitats, so I think we should find a way to trade them."
911,QUESTSTORY_Meerkat2,I hope you have better luck with them than we did! I am sure they will be happier with you!
912,QUESTSTORY_Horse1,"Did you know that wild horses actually no longer exist?! These came from Mongolia, and are about as close to wild as you can get these days."
913,QUESTSTORY_Horse2,Thanks! Have fun with these stunning stallions.
914,QUESTSTORY_Utah,Salt Lake City
915,QUESTSTORY_Porcupine1,"This porcupine is doin' fine! Or at least I think he will be, if you can look after him and his mate for us!"
916,QUESTSTORY_Porcupine2,"Thanks for the trade, but watch out for their quills. Sorry, I don't usually make a point of giving safety warnings about animals."
917,QUESTSTORY_TorontoZoo,Toronto Zoo
918,QUESTSTORY_Duck1,"The duck isn't really a symbol of Canada, but we have one on our dollar coin. Well actually we have a Loon, but it's close enough."
919,QUESTSTORY_Duck2,"They love water, please look after them well."
920,QUESTSTORY_Armadillo1,"We love Armadillos, and so do you!"
921,QUESTSTORY_Armadillo2,"They sleep up to 16 hours each day, so make sure they can get their well needed rest daily."
922,QUESTSTORY_OaklandZoo,Oakland Zoo
923,QUESTSTORY_Bear1,The bear is the symbol of our state! But we want to spread our sunshine over the whole globe!
924,QUESTSTORY_Bear2,"Good luck, bears are always loved by everyone!"
925,QUESTSTORY_SydneyZoo,Sydney Zoo
926,QUESTSTORY_Rabbit1,"Hi! We had an unexpected boost to our rabbit population last month, and we just don't know what to do with them!~~I heard you were starting a new zoo, and instantly thought we might have found the perfect home for a couple of our floppy eared furballs! What d'ya say?"
927,QUESTSTORY_Rabbit2,"I am sure you will love them, and your visitors will too!"
928,QUESTSTORY_Hyena1,"Hyenas aren't as popular here as we'd hoped, which is why we are trying to find a new home for ours. People here think they look a bit too much like Dingos."
929,QUESTSTORY_Hyena2,I am sad to see them go! But happy these hyenas are going to such a great new home.
930,QUESTSTORY_TokyoZoo,Tokyo Zoo
931,QUESTSTORY_Capy1,"You know what is the cutest animal, that a lot of people haven't heard of? That's right, it's the capybara! Here in Japan, we just love them way too much, but we are willing to part with a couple in return for this kind of rabbit. Do you think you can breed one for us?"
932,QUESTSTORY_Capy2,"Now you look after our capybara! Capy, capy capy!!! Wait, that sounds like the name of a famous sentient hat."
933,QUESTSTORY_Snake1,"We got more than we bargained for when we picked up several snakes from South America, so much so that we are looking to rehouse a couple of them."
934,QUESTSTORY_Snake2,"The last rabbit you gave us was such a hit with our visitors, we are overjoyed to have more for our collection!"
935,BtnDone,Done
936,BtnOK,OK
937,STAFF_Area,Select the area you would like this employee to work within.
938,STAFF_DeadAnimals,Select the enclosures you want to collect dead animals from for processing.
939,STAFF_ZooKeeper,Select the enclosures you want your zoo keeper to look after.
940,STAFF_AssignedZones,Assigned zones: 
941,POPUP_PubsOpen,Pubs not closed
942,POPUP_PubsClose,Close all pubs
943,POPUP_NoPrivateBar,No private bar
944,POPUP_YesPrivateBar,Provide a private bar
945,CostPerTile,Cost per tile ${0}.
946,CantAfford,You cannot afford this item.
947,NEW_NewAnimals,New Animals!
948,NEW_Collections,These animals have been added to your collection.
949,NEW_Collection,This animal has been added to your collection.
950,NEW_ReceivedPair,Received: {0} x{1}!
951,NEW_ReceivedMale,You received a male {0}!
952,NEW_ReceivedFemale,You received a female {0}!
953,NEW_Get,Get
954,NEW_NewDiscovery,New Discovery
955,STAFF_AccessWorkplace,Access via workplace
956,STAFF_GoWorkplace,"~To manage this type of employee, you must go their workplace."
957,STAFF_NoBuildings,No buildings
958,STAFF_NeedConstruct,You need to construct this building before any employees can work there.
959,TRADE_TradeComplete,Trade Completed!
960,TRADE_ViewTrade,View Trade
961,TRADE_ReturnToZoo,Return to Zoo
962,EnclosureSelect,Select an enclosure to deliver your new animals to.
963,SkipDay,Skip Day
964,Monday,Monday
965,Tuesday,Tuesday
966,Wednesday,Wednesday
967,Thursday,Thursday
968,Friday,Friday
969,Saturday,Saturday
970,Sunday,Sunday
971,NightTime,Night Time
972,Details,Details
973,CancelOrder,Cancel Order
974,NoRefund,Your payment will not be refunded. Are you sure you want to cancel this order?
975,Days,Days
976,InBound,In bound
977,InBound_SPLIT_In,In
978,InBound_SPLIT_Bound,bound
979,WaitingToOpen,Waiting To Open
980,Opens,Opens: 
981,Closes,Closes: 
982,WaitingCustomer,Waiting for customers to leave
983,GAMEOPT_DaysOperation,Days in operation
984,GAMEOPT_Completion,Completion
985,Morality,Morality
986,Cash,Cash
987,LandUnlocked,Land Unlocked
988,ResearchDiscovered,Research Discovered
989,Evil,Evil
990,Good,Good
991,Neutral,Neutral
992,MoralityRequirement,Morality Requirement
993,NotEnoughMorality,Not enough morality points to use.
994,STAFF_GonkyMascot,Gonky Mascot
995,STAFF_BearMascot,Bear Mascot
996,STAFF_TakoMascot,Tako Ranger
997,STAFF_SharkMascot,Sharkman
998,STAFF_PenguinMascot,Morality Penguin
999,STAFF_PigMascot,Piggsy
1000,STAFF_PandaMascot,Karate-Panda
1001,STAFF_AnimalKeeper,Animal Keeper
1002,STAFF_Janitor,Janitor
1003,STAFF_SecurityGuard,Security Guard
1004,STAFF_Mechanic,Mechanic
1005,STAFF_Shopkeeper,Shopkeeper
1006,STAFF_Breeder,Breeder
1007,STAFF_DNAResearcher,Geneticist
1008,STAFF_TourGuide,Tour Guide
1009,STAFF_MeatProcessorWorker,Animal Undertaker
1010,STAFF_FactoryWorker,Factory Worker
1011,STAFF_Vet,Vet
1012,STAFF_SlaughterhouseWorker,Abattoir Worker
1013,STAFF_Farmer,Farmer
1014,STAFF_CropPicker,Crop Picker
1015,STAFF_WarehouseWorker,Storeman
1016,STAFF_Architect,Researcher
1017,GateIntegrity,Gate Integrity
1018,CallMechanic,Call~Mechanic
1019,RequiresMechanic,Requires~Mechanic
1020,EmployMechanic,EMPLOY A MECHANIC~Use the ticket office at the front gate to hire mechanics and other park staff.
1021,CNTRL_Navigation,Navigation
1022,CNTRL_HoldToPan,Hold to pan
1023,CNTRL_ScrollToZoom,Scroll to zoom
1024,CNTRL_ClickToBuild,Click to build
1025,CNTRL_ClickToUndo,Click to undo
1026,CNTRL_BuildStructure,Build Structure
1027,CNTRL_ClickToRemove,Click to remove
1028,CNTRL_ClickToRotate,Click to rotate
1029,CNTRL_SelectToBuild,Select item to build
1030,CNTRL_ClickToSelect1,Click to Select
1031,CNTRL_ClickToSelect2,thing to build
1032,CNTRL_SelectLocation,Select Location
1033,CNTRL_ClickToPlace1,Click to place
1034,CNTRL_ClickToPlace2,gate
1035,CNTRL_ClickToConfirm,Click to confirm
1036,CNTRL_SelectPen,Select Pen
1037,CNTRL_ClickArrow1,Click on arrow
1038,CNTRL_ClickArrow2,to pick pen
1039,ProgressSummary,ProgressSummary
1040,Employees,Employees
1041,Achievements,Achievements
1042,SPECIALResearcher_TaskSummary,Build a Research building 
1043,SPECIALResearcher_TaskDescription,Build a research structure before the end of the day and get a daily sponsorship for the next 2 weeks
1044,SPECIALResearcher_Heading,Research Grant
1045,Enrichment_SmallBallDesc,Enrich your animals by adding this ball in your enclosure.
1046,Enrichment_TrampolineDesc,Let your animals have a glimpse outside their pen while having fun.
1047,WaterTroughDesc,Linking a trough up to a water pump provides your animals with water.
1048,INVESTORBETA_Heading,Seed Fund 2
1049,INVESTORBETA_Desc,"It's great to see our business growing, I need to report to my partners on the growth. So your next goal is to reach 200 total customers."
1050,INVESTORBETA_TaskSummary,200 Customers.
1051,PUBIDIOT_Heading2,Hire a Janitor
1052,PUBIDIOT_Desc2,Your zoo is going to become a rat infested den of disgust unless you hire someone to tidy it up.
1053,PUBIDIOT_TaskSummary2,Hire Janitor from Ticket Office
1054,QUEST_EmployThis,Employ {0} x {1}.
1055,INVESTORB1_Heading,Proving grounds
1056,INVESTORB1_Desc,"Now we are finally up and running, I would love to start tracking your progress. If you reach 25 total customers, I will be able to give you a small performance bonus."
1057,INVESTORB1_TaskSummary,25 Customers.
1058,GENOMESCIENTISTB1_Heading,Build CRISPR Splicer
1059,GENOMESCIENTISTB1_Desc,"New technology has enabled us to splice animals together, as long as we have the genome of that animal. Show the wonders of science to the public, and build a CRISPR Splicer now!"
1060,GENOMESCIENTISTB1_TaskSummary,Build the CRISPR Splicer
1061,GENOMESCIENTISTB2_Heading,Make hybrids!
1062,GENOMESCIENTISTB2_Desc,Now we can make hybrids! We should start developing one as soon as we can. Go to the CRISPR Splicer and then start making one now.
1063,GENOMESCIENTISTB2_TaskSummary,Own 4 hybrid animals
1064,GeneticistTXT,Thanks for helping out in the advancement of science! We are fortunate to be living in an age where we can see such wonders.
1065,SCIENTISTB1_Heading,Hire a Researcher
1066,SCIENTISTB1_Desc,"Now that you unlocked a new vacancy in the Research Hub, we can now hire more employees! That would really make our research go faster!"
1067,SCIENTISTB1_TaskSummary,Hire another Researcher in the Research Hub
1068,ScientistTXT,That's wonderful! We will be looking forward to seeing what kind of new things you will make in the future.
1069,ANIMALSPOTTERB1_Heading,Animal Utopia
1070,ANIMALSPOTTERB1_Desc,"You know, I really love seeing lots of animals! It's really a pity that I don't see that many here. You should get more of them!"
1071,ANIMALSPOTTERB1_TaskSummary,Have 10 Animals
1072,AnimalSpotterTXT,Thanks for making my wish come true! I have never seen a zoo more lively!
1073,ANIMALSPOTTERB2_Heading,Animal Utopia 2
1074,ANIMALSPOTTERB2_Desc,"Wow! But I have a burning need to see even more animals. If you could kindly bring more into your zoo, that would be awesome!"
1075,ANIMALSPOTTERB2_TaskSummary,Have 25 Animals
1076,SCIENTISTB2_Heading,Research an item
1077,SCIENTISTB2_Desc,"We are really keen to begin our work, so tell us what you would like us to research on by going to the Research Hub and allocating your research points to unlock more items!"
1078,SCIENTISTB2_TaskSummary,Research an item in the Research Hub
1079,Count,Count
